net,length_um
clknet_2_1__leaf_CLK,103.78
clknet_2_0__leaf_CLK,95.3
clknet_2_3__leaf_CLK,94.46
clknet_2_2__leaf_CLK,82.12
x49.G1,73.46
clknet_0_CLK,66.58
x6.A,54.1
x34.B,50.62
x7.A,49.4
x1.A,47.16
x5.A,46.52
CLK,46.51
x12.B,46.48
x10.B,45.56
x3.B,44.98
x2.A,44.28
x65.Si,43.025
x33.B,42.84
net40,42.58
x68.Si,42.28
x11.B,41.66
x8.A,41.18
_059_,37.85
x10.A,37.44
x36.B,36.98
x7.B,36.12
net33,35.125
net27,32.245
x12.A,31.72
net3,31.245
x3.A,31.04
x73.Si,30.865
x69.Si,30.46
x70.Si,28.565
x1.B,28.56
x74.Si,28.54
x36.A,27.82
x49.G,26.88
net45,26.44
net5,26.385
net39,26.26
_060_,25.08
net44,25.04
_069_,25.03
_085_,23.28
x6.B,23.26
net21,22.285
_049_,22.18
net43,22.16
net11,21.925
B[0],20.98
net19,20.705
x72.Si,20.56
x2.B,20.24
_045_,20.08
_080_,20
x35.B,19.88
_038_,19.7
net9,19.585
_009_,18.76
_000_,18.66
A[0],18.24
_066_,18.22
S[0],18.13
_047_,17.915
x67.Si,17.725
net23,17.105
_028_,16.68
_076_,16.48
_050_,16.24
net46,16.16
x8.B,16.06
_073_,15.94
x11.A,15.92
net34,15.88
x5.B,15.72
_086_,15.52
A[15],15.48
_052_,15.32
_082_,15.18
B[1],15
x33.A,14.98
_043_,14.74
_046_,14.4
x9.B,14.34
x34.A,14.09
_061_,13.88
_012_,13.86
B[15],13.78
_041_,13.6
_015_,13.48
_006_,13.46
_005_,13.19
_065_,13.04
Cout,12.41
_074_,12.34
_053_,12.32
x78.Si,12.165
x76.Si,12.125
_040_,12.1
_031_,12.04
A[6],11.8
A[9],11.8
S[15],11.75
x79.Si,11.745
_002_,11.66
B[2],11.48
A[10],11.34
A[11],11.34
A[13],11.34
A[1],11.34
A[4],11.34
A[5],11.34
A[7],11.34
A[8],11.34
net16,11.245
_026_,11.22
x4.A,11.08
B[10],11
_001_,10.96
_078_,10.86
net50,10.86
_029_,10.82
_081_,10.76
B[3],10.56
_084_,10.52
A[12],10.42
A[14],10.42
A[2],10.42
A[3],10.42
Cin,10.39
net2,10.325
_034_,10.24
B[6],10.1
_079_,9.98
_032_,9.94
_008_,9.8
B[11],9.64
B[12],9.64
B[13],9.64
B[4],9.64
B[5],9.64
net15,9.545
net10,9.485
net29,9.365
_064_,9.36
B[9],9.18
net17,9.145
net32,9.065
net1,9.025
net14,9.025
_055_,9
net7,8.88
x71.Si,8.86
B[14],8.72
B[7],8.72
B[8],8.72
_037_,8.7
x4.B,8.68
_044_,8.6
_048_,8.58
_071_,8.46
x35.A,8.2
S[14],8.01
x77.Si,7.745
x80.Si,7.705
_036_,7.7
net35,7.68
_057_,7.66
net22,7.605
_051_,7.54
_035_,7.52
_039_,7.52
_067_,7.42
_070_,7.4
_010_,7.395
net6,7.255
_016_,7.24
net12,7.105
_019_,7.08
S[7],6.99
net20,6.885
net26,6.685
_077_,6.67
S[11],6.65
S[13],6.65
S[3],6.65
_054_,6.62
_013_,6.6
_058_,6.6
S[5],6.33
_072_,6.32
_003_,6.28
_083_,6.28
x75.Si,6.185
_023_,6.14
S[2],5.97
S[6],5.97
net31,5.965
net4,5.865
_007_,5.84
_042_,5.84
net42,5.8
_063_,5.74
_024_,5.72
net37,5.68
S[1],5.59
_062_,5.48
S[12],5.29
S[4],5.29
S[8],5.29
S[10],4.95
S[9],4.95
_056_,4.92
net38,4.88
net41,4.88
net47,4.88
_011_,4.8
_068_,4.46
net18,4.385
x66.Si,4.025
_025_,4
x9.A,3.9
_021_,3.42
net30,3.32
net24,3.175
_027_,3.1
_030_,2.96
net49,2.96
net13,2.785
net25,2.545
net28,2.545
net48,2.5
_033_,2.3
_018_,2.28
net36,2.06
net8,1.865
_014_,1.84
_020_,1.84
_022_,1.84
_004_,1.7
_017_,1.7
_075_,0.92
