net,length_um
clknet_2_3__leaf_CLK,121.52
clknet_2_0__leaf_CLK,107.56
clknet_2_1__leaf_CLK,104.52
clknet_2_2__leaf_CLK,76.8
clknet_0_CLK,62.51
x1_4.A,53.66
net33,53.16
x1_15.B,50.72
CLK,45.485
net41,43.56
x1_5.A,42.8
x1_3.A,41
x1_1.A,40.96
x1_2.A,40.78
x1_14.S,40.305
x1_0.S,39.405
x1_6.A,37.58
net34,37.58
net47,37.08
net17,37.025
x1_10.B,36.22
x1_9.B,35.14
x1_7.A,33.34
x1_8.A,33.08
x1_8.B,32.72
x1_14.B,31.8
x1_1.S,29.965
net3,28.555
x1_12.B,28.48
_028_,27.26
x1_7.B,26.88
x1_4.B,26.71
net24,26.345
_044_,25.62
x1_13.S,25.185
_038_,25.04
x1_2.B,24.92
x1_5.B,24.68
x1_9.A,24.46
net21,23.925
net4,23.845
x1_13.B,22.82
net46,22.82
_030_,22.68
_047_,22.64
x1_11.B,21.5
net39,20.86
net5,20.82
x1_12.S,19.985
x1_10.A,19.44
_029_,19.41
net22,19.325
_050_,19.24
_056_,19.02
_006_,18.66
net37,18.46
_054_,18
x1_3.B,17.94
A[1],17.9
A[15],17.74
x1_0.Cin,17.56
net36,17.46
A[0],17.28
net20,17.105
_033_,17.04
x1_11.S,16.42
net45,16.32
_062_,16.3
_045_,16.24
_037_,16.2
net50,15.86
x1_6.B,15.68
_036_,15.4
B[0],15.16
_060_,15.1
net38,15.04
_059_,15.02
net19,15.005
A[13],14.98
net25,14.585
net49,14.48
Cout,14.15
_048_,14.14
A[14],14.06
_051_,13.98
_049_,13.92
_055_,13.82
net16,13.705
B[15],13.32
_027_,13.06
_010_,13.02
S[15],12.81
net1,12.795
B[7],12.7
_041_,12.64
net48,12.64
A[2],12.38
A[3],12.38
_057_,12.38
A[10],11.92
S[0],11.71
_032_,11.54
B[5],11.48
B[8],11.48
x1_1.B,11.39
_042_,11.13
A[11],11
A[12],11
A[4],11
A[5],11
A[7],11
A[8],11
A[9],11
x1_12.A,10.96
net13,10.945
_001_,10.92
_058_,10.88
x1_2.S,10.875
B[10],10.56
B[4],10.56
_034_,10.54
A[6],10.08
_015_,9.88
x1_15.A,9.78
_061_,9.7
net2,9.645
B[11],9.64
B[13],9.64
B[1],9.64
B[9],9.64
x1_7.S,9.32
_039_,9.28
x1_15.S,9.225
B[3],9.18
x1_13.A,9.12
_002_,8.875
_022_,8.84
_031_,8.84
_023_,8.82
net15,8.725
B[12],8.72
B[14],8.72
B[2],8.72
B[6],8.72
x1_14.A,8.66
_063_,8.36
net32,8.265
x1_4.S,8.065
net28,8.065
_064_,8.02
net35,8.02
_005_,7.82
net10,7.805
_052_,7.66
x1_0.A,7.66
_035_,7.64
_043_,7.54
net42,7.52
_003_,7.3
_012_,7.22
x1_10.S,7.185
_026_,7.1
_067_,7.1
_053_,7.06
_046_,6.86
x1_0.B,6.86
_007_,6.72
x1_6.S,6.705
S[3],6.67
x1_11.A,6.52
x1_5.S,6.365
_070_,6.26
_000_,5.82
net9,5.645
net6,5.545
net18,5.505
net40,5.34
net31,5.305
S[10],5.29
S[11],5.29
S[13],5.29
S[5],5.29
_011_,5.06
_017_,5.06
net23,5.045
net29,5.045
S[12],4.95
S[14],4.95
S[1],4.95
S[2],4.95
S[6],4.95
S[9],4.95
_065_,4.94
_021_,4.92
S[4],4.61
S[7],4.61
_008_,4.6
net12,4.585
_004_,4.46
_018_,4.34
net44,4.34
Cin,4.27
S[8],4.27
_019_,4.14
x1_15.Cout,3.965
net8,3.8
_068_,3.68
_013_,3.54
_024_,3.54
net14,3.465
x1_9.S,3.405
net11,3.345
_009_,3.1
net26,3.005
net43,2.96
x1_8.S,2.88
net7,2.545
_020_,2.5
net30,2.255
_016_,2.18
_040_,2.16
_069_,2.04
net27,2.025
_066_,1.84
_014_,1.7
_025_,1.7
x1_3.S,1.575
